Timestamp,Local time,Action Eye,Action Upper Face,Power Upper Face,Action Lower Face,Power Lower Face
1749333537.7102,14:58:57.710,neutral,frown,0.065752,neutral,0.0
1749333537.7415,14:58:57.741,neutral,frown,0.065752,neutral,0.0
1749333537.7729,14:58:57.772,neutral,frown,0.073471,neutral,0.0
1749333537.8042,14:58:57.804,neutral,frown,0.073471,neutral,0.0
1749333537.8355,14:58:57.835,neutral,frown,0.073471,neutral,0.0
1749333537.8667,14:58:57.866,neutral,frown,0.073471,neutral,0.0
1749333537.8978,14:58:57.897,neutral,frown,0.055932,neutral,0.0
1749333537.929,14:58:57.929,neutral,frown,0.055932,neutral,0.0
1749333537.9601,14:58:57.960,neutral,frown,0.055932,neutral,0.0
1749333537.9912,14:58:57.991,neutral,frown,0.055932,neutral,0.0
1749333538.0224,14:58:58.022,neutral,frown,0.052145,neutral,0.0
1749333538.0535,14:58:58.053,neutral,frown,0.052145,neutral,0.0
1749333538.0849,14:58:58.084,neutral,frown,0.052145,neutral,0.0
1749333538.1162,14:58:58.116,neutral,frown,0.052145,neutral,0.0
1749333538.1475,14:58:58.147,neutral,frown,0.081397,neutral,0.0
1749333538.1789,14:58:58.178,neutral,frown,0.081397,neutral,0.0
1749333538.2102,14:58:58.210,neutral,frown,0.081397,neutral,0.0
1749333538.2414,14:58:58.241,neutral,frown,0.081397,neutral,0.0
1749333538.2725,14:58:58.272,neutral,frown,0.102539,neutral,0.0
1749333538.3038,14:58:58.303,neutral,frown,0.102539,neutral,0.0
1749333538.3352,14:58:58.335,neutral,frown,0.102539,neutral,0.0
1749333538.3663,14:58:58.366,neutral,frown,0.102539,neutral,0.0
1749333538.3974,14:58:58.397,neutral,frown,0.126365,neutral,0.0
1749333538.4286,14:58:58.428,neutral,frown,0.126365,neutral,0.0
1749333538.4599,14:58:58.459,neutral,frown,0.126365,neutral,0.0
1749333538.4913,14:58:58.491,neutral,frown,0.126365,neutral,0.0
1749333538.5226,14:58:58.522,neutral,frown,0.14059,neutral,0.0
1749333538.5539,14:58:58.553,neutral,frown,0.14059,neutral,0.0
1749333538.5853,14:58:58.585,neutral,frown,0.14059,neutral,0.0
1749333538.6164,14:58:58.616,neutral,frown,0.14059,neutral,0.0
1749333538.6476,14:58:58.647,neutral,frown,0.158966,neutral,0.0
1749333538.6787,14:58:58.678,neutral,frown,0.158966,neutral,0.0
1749333538.7098,14:58:58.709,neutral,frown,0.158966,neutral,0.0
1749333538.741,14:58:58.741,neutral,frown,0.158966,neutral,0.0
1749333538.7721,14:58:58.772,neutral,neutral,0.0,neutral,0.0
1749333538.8033,14:58:58.803,neutral,neutral,0.0,neutral,0.0
1749333538.8346,14:58:58.834,neutral,neutral,0.0,neutral,0.0
1749333538.8659,14:58:58.865,neutral,neutral,0.0,neutral,0.0
1749333538.8973,14:58:58.897,neutral,frown,0.151875,neutral,0.0
1749333538.9286,14:58:58.928,neutral,frown,0.151875,neutral,0.0
1749333538.96,14:58:58.960,neutral,frown,0.151875,neutral,0.0
1749333538.9911,14:58:58.991,neutral,frown,0.151875,neutral,0.0
1749333539.0224,14:58:59.022,neutral,frown,0.219682,neutral,0.0
1749333539.0536,14:58:59.053,neutral,frown,0.219682,neutral,0.0
1749333539.0847,14:58:59.084,neutral,frown,0.219682,neutral,0.0
1749333539.1159,14:58:59.115,neutral,frown,0.219682,neutral,0.0
1749333539.147,14:58:59.147,neutral,frown,0.314202,neutral,0.0
1749333539.1783,14:58:59.178,neutral,frown,0.314202,neutral,0.0
1749333539.2097,14:58:59.209,neutral,frown,0.314202,neutral,0.0
1749333539.241,14:58:59.241,neutral,frown,0.314202,neutral,0.0
1749333539.2724,14:58:59.272,neutral,frown,0.248543,neutral,0.0
1749333539.3037,14:58:59.303,neutral,frown,0.248543,neutral,0.0
1749333539.335,14:58:59.335,neutral,frown,0.248543,neutral,0.0
1749333539.3662,14:58:59.366,neutral,frown,0.248543,neutral,0.0
1749333539.3973,14:58:59.397,neutral,frown,0.102486,neutral,0.0
1749333539.4285,14:58:59.428,neutral,frown,0.102486,neutral,0.0
1749333539.4596,14:58:59.459,neutral,frown,0.102486,neutral,0.0
1749333539.4909,14:58:59.490,neutral,frown,0.102486,neutral,0.0
1749333539.5221,14:58:59.522,neutral,frown,0.031766,neutral,0.0
1749333539.5532,14:58:59.553,neutral,frown,0.031766,neutral,0.0
1749333539.5846,14:58:59.584,neutral,frown,0.031766,neutral,0.0
1749333539.6159,14:58:59.615,neutral,frown,0.031766,neutral,0.0
1749333539.6472,14:58:59.647,neutral,frown,0.035318,neutral,0.0
1749333539.6786,14:58:59.678,neutral,frown,0.035318,neutral,0.0
1749333539.7099,14:58:59.709,neutral,frown,0.035318,neutral,0.0
1749333539.7411,14:58:59.741,neutral,frown,0.035318,neutral,0.0
1749333539.7722,14:58:59.772,neutral,frown,0.055829,neutral,0.0
1749333539.8035,14:58:59.803,neutral,frown,0.055829,neutral,0.0
1749333539.8347,14:58:59.834,neutral,frown,0.055829,neutral,0.0
1749333539.8658,14:58:59.865,neutral,frown,0.055829,neutral,0.0
1749333539.8972,14:58:59.897,neutral,frown,0.056601,neutral,0.0
1749333539.9285,14:58:59.928,neutral,frown,0.056601,neutral,0.0
1749333539.9598,14:58:59.959,neutral,frown,0.056601,neutral,0.0
1749333539.9912,14:58:59.991,neutral,frown,0.056601,neutral,0.0
1749333540.0225,14:59:00.022,neutral,frown,0.053571,neutral,0.0
1749333540.0539,14:59:00.053,neutral,frown,0.053571,neutral,0.0
1749333540.0852,14:59:00.085,neutral,frown,0.053571,neutral,0.0
1749333540.1163,14:59:00.116,neutral,frown,0.053571,neutral,0.0
1749333540.1475,14:59:00.147,neutral,frown,0.072012,neutral,0.0
1749333540.1788,14:59:00.178,neutral,frown,0.072012,neutral,0.0
1749333540.21,14:59:00.210,neutral,frown,0.072012,neutral,0.0
1749333540.2413,14:59:00.241,neutral,frown,0.072012,neutral,0.0
1749333540.2724,14:59:00.272,neutral,frown,0.119388,neutral,0.0
1749333540.3038,14:59:00.303,neutral,frown,0.119388,neutral,0.0
1749333540.3351,14:59:00.335,neutral,frown,0.119388,neutral,0.0
1749333540.3665,14:59:00.366,neutral,frown,0.119388,neutral,0.0
1749333540.3978,14:59:00.397,neutral,frown,0.101111,neutral,0.0
1749333540.4291,14:59:00.429,neutral,frown,0.101111,neutral,0.0
1749333540.4605,14:59:00.460,neutral,frown,0.101111,neutral,0.0
1749333540.4916,14:59:00.491,neutral,frown,0.101111,neutral,0.0
1749333540.5228,14:59:00.522,neutral,frown,0.078391,neutral,0.0
1749333540.5539,14:59:00.553,neutral,frown,0.078391,neutral,0.0
1749333540.585,14:59:00.585,neutral,frown,0.078391,neutral,0.0
1749333540.6162,14:59:00.616,neutral,frown,0.078391,neutral,0.0
1749333540.6473,14:59:00.647,neutral,frown,0.048961,neutral,0.0
1749333540.6785,14:59:00.678,neutral,frown,0.048961,neutral,0.0
1749333540.7098,14:59:00.709,neutral,frown,0.048961,neutral,0.0
1749333540.7411,14:59:00.741,neutral,frown,0.048961,neutral,0.0
1749333540.7725,14:59:00.772,neutral,frown,0.060852,neutral,0.0
1749333540.8038,14:59:00.803,neutral,frown,0.060852,neutral,0.0
1749333540.835,14:59:00.835,neutral,frown,0.060852,neutral,0.0
1749333540.8661,14:59:00.866,neutral,frown,0.060852,neutral,0.0
1749333540.8972,14:59:00.897,neutral,frown,0.70949,neutral,0.0
1749333540.9284,14:59:00.928,neutral,frown,0.70949,neutral,0.0
1749333540.9595,14:59:00.959,neutral,frown,0.70949,neutral,0.0
1749333540.9906,14:59:00.990,neutral,frown,0.70949,neutral,0.0
1749333541.0218,14:59:01.021,neutral,frown,0.588185,neutral,0.0
1749333541.0529,14:59:01.052,neutral,frown,0.588185,neutral,0.0
1749333541.0843,14:59:01.084,neutral,frown,0.588185,neutral,0.0
1749333541.1156,14:59:01.115,neutral,frown,0.588185,neutral,0.0
1749333541.1469,14:59:01.146,neutral,frown,0.370981,neutral,0.0
1749333541.1783,14:59:01.178,neutral,frown,0.370981,neutral,0.0
1749333541.2094,14:59:01.209,neutral,frown,0.370981,neutral,0.0
1749333541.2406,14:59:01.240,neutral,frown,0.370981,neutral,0.0
1749333541.2717,14:59:01.271,neutral,frown,0.247675,neutral,0.0
1749333541.3028,14:59:01.302,neutral,frown,0.247675,neutral,0.0
1749333541.334,14:59:01.334,neutral,frown,0.247675,neutral,0.0
1749333541.3651,14:59:01.365,neutral,frown,0.247675,neutral,0.0
1749333541.3963,14:59:01.396,neutral,frown,0.195481,neutral,0.0
1749333541.4274,14:59:01.427,neutral,frown,0.195481,neutral,0.0
