Timestamp,Local time,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1749332970.8362,14:49:30.836,15,false,0.0,4262.436,4414.231,4128.205,4446.667,4256.795
1749332970.8441,14:49:30.844,16,false,0.0,4264.103,4407.821,4123.462,4412.564,4259.487
1749332970.8519,14:49:30.851,17,false,0.0,4296.923,4426.026,4157.051,4399.615,4271.154
1749332970.8597,14:49:30.859,18,false,0.0,4304.487,4421.667,4156.538,4408.59,4278.59
1749332970.8675,14:49:30.867,19,false,0.0,4293.846,4408.59,4138.205,4391.154,4270.641
1749332970.8754,14:49:30.875,20,false,0.0,4302.051,4424.744,4159.359,4378.974,4272.051
1749332970.8832,14:49:30.883,21,false,0.0,4291.667,4422.821,4153.974,4397.692,4278.974
1749332970.891,14:49:30.891,22,false,0.0,4268.974,4402.692,4132.308,4406.282,4273.846
1749332970.8988,14:49:30.898,23,false,0.0,4272.179,4411.41,4156.538,4405.641,4269.744
1749332970.9068,14:49:30.906,24,false,0.0,4261.41,4413.077,4158.077,4418.974,4265.641
1749332970.9146,14:49:30.914,25,false,0.0,4238.846,4400.513,4137.821,4430.513,4254.615
1749332970.9224,14:49:30.922,26,false,0.0,4254.487,4421.538,4162.692,4440.641,4259.359
1749332970.9302,14:49:30.930,27,false,0.0,4266.41,4441.538,4172.051,4458.462,4281.538
1749332970.9381,14:49:30.938,28,false,0.0,4252.949,4430.769,4158.718,4469.231,4294.487
1749332970.9459,14:49:30.945,29,false,0.0,4263.974,4431.795,4179.615,4468.205,4291.154
1749332970.9537,14:49:30.953,30,false,0.0,4280.513,4445.256,4179.359,4459.359,4286.282
1749332970.9615,14:49:30.961,31,false,0.0,4281.41,4453.974,4169.359,4446.923,4297.949
1749332970.9692,14:49:30.969,32,false,0.0,4297.692,4466.026,4211.667,4441.282,4318.974
1749332970.977,14:49:30.977,33,false,0.0,4303.846,4464.615,4221.282,4435.128,4320.128
1749332970.9849,14:49:30.984,34,false,0.0,4278.718,4453.077,4174.103,4420.0,4304.744
1749332970.9927,14:49:30.992,35,false,0.0,4262.308,4456.667,4160.0,4411.667,4295.513
1749332971.0006,14:49:31.000,36,false,0.0,4261.026,4455.897,4165.641,4415.385,4293.974
1749332971.0084,14:49:31.008,37,false,0.0,4274.615,4444.615,4170.128,4420.641,4303.718
