Timestamp,Local time,Battery Level,Battery Percent,Wireless Signal,Overall Quality,Quality Sensor 0,Quality Sensor 1,Quality Sensor 2,Quality Sensor 3,Quality Sensor 4
"1749333056.5588","14:50:56.558","3","68","1.0","83","4","4","4","2","4"
"1749333057.0593","14:50:57.059","3","68","1.0","83","4","4","4","2","4"
"1749333057.5589","14:50:57.558","3","68","1.0","83","4","4","4","2","4"
"1749333058.0581","14:50:58.058","3","68","1.0","83","4","4","4","2","4"
"1749333058.5584","14:50:58.558","3","68","1.0","83","4","4","4","2","4"
"1749333059.0584","14:50:59.058","3","68","1.0","83","4","4","4","2","4"
"1749333059.5578","14:50:59.557","3","68","1.0","83","4","4","4","2","4"
"1749333060.0579","14:51:00.057","3","68","1.0","83","4","4","4","2","4"
"1749333060.5577","14:51:00.557","3","68","1.0","83","4","4","4","2","4"
"1749333061.0571","14:51:01.057","3","68","1.0","83","4","4","4","2","4"
"1749333061.5572","14:51:01.557","3","68","1.0","75","4","4","4","1","4"
"1749333062.0572","14:51:02.057","3","68","1.0","75","4","4","4","1","4"
"1749333062.5567","14:51:02.556","3","68","1.0","75","4","4","4","1","4"
"1749333063.0565","14:51:03.056","3","68","1.0","75","4","4","4","1","4"
"1749333063.5565","14:51:03.556","3","68","1.0","75","4","4","4","1","4"
"1749333064.0562","14:51:04.056","3","68","1.0","75","4","4","4","1","4"
"1749333064.5558","14:51:04.555","3","68","1.0","75","4","4","4","1","4"
"1749333065.0559","14:51:05.055","3","68","1.0","75","4","4","4","1","4"
"1749333065.5557","14:51:05.555","3","68","1.0","75","4","4","4","1","4"
"1749333066.0552","14:51:06.055","3","68","1.0","83","4","4","4","2","4"
"1749333066.5554","14:51:06.555","3","68","1.0","83","4","4","4","2","4"
"1749333067.0554","14:51:07.055","3","68","1.0","83","4","4","4","2","4"
"1749333067.555","14:51:07.555","3","68","1.0","83","4","4","4","2","4"
"1749333068.055","14:51:08.055","3","68","1.0","83","4","4","4","2","4"
"1749333068.5549","14:51:08.554","3","68","1.0","83","4","4","4","2","4"
"1749333069.0543","14:51:09.054","3","68","1.0","83","4","4","4","2","4"
"1749333069.5543","14:51:09.554","3","68","1.0","83","4","4","4","2","4"
"1749333070.0542","14:51:10.054","3","68","1.0","83","4","4","4","2","4"
"1749333070.5536","14:51:10.553","3","68","1.0","83","4","4","4","2","4"
"1749333071.0538","14:51:11.053","3","68","1.0","83","4","4","4","2","4"
"1749333071.5539","14:51:11.553","3","68","1.0","83","4","4","4","2","4"
"1749333072.0533","14:51:12.053","3","68","1.0","83","4","4","4","2","4"
"1749333072.5535","14:51:12.553","3","68","1.0","83","4","4","4","2","4"
"1749333073.0536","14:51:13.053","3","68","1.0","83","4","4","4","2","4"
"1749333073.553","14:51:13.553","3","68","1.0","83","4","4","4","2","4"
"1749333074.0534","14:51:14.053","3","68","1.0","83","4","4","4","2","4"
"1749333074.5535","14:51:14.553","3","68","1.0","83","4","4","4","2","4"
"1749333075.0531","14:51:15.053","3","68","1.0","83","4","4","4","2","4"
"1749333075.5533","14:51:15.553","3","68","1.0","83","4","4","4","2","4"
"1749333076.0534","14:51:16.053","3","68","1.0","83","4","4","4","2","4"
"1749333076.5526","14:51:16.552","3","68","1.0","83","4","4","4","2","4"
"1749333077.0522","14:51:17.052","3","68","1.0","83","4","4","4","2","4"
"1749333077.5523","14:51:17.552","3","68","1.0","83","4","4","4","2","4"
"1749333078.0517","14:51:18.051","3","68","1.0","83","4","4","4","2","4"
"1749333078.5517","14:51:18.551","3","68","1.0","83","4","4","4","2","4"
"1749333079.052","14:51:19.052","3","68","1.0","83","4","4","4","2","4"
"1749333079.5514","14:51:19.551","3","68","1.0","83","4","4","4","2","4"
"1749333080.0512","14:51:20.051","3","68","1.0","83","4","4","4","2","4"
